x1(時間),x2(頻出),x3(文字数/時間),x4(京都府警),y,,
0,0.08,6.23,35,1,,7.92
0.16,3.56,8.18,36,1,,7.31
0.12,0.64,8.42,53,1,,8.79
0.3,0.4,7.36,40,1,,7.96
0,0.17,9.15,54,1,,7.73
0.27,1.23,7.46,39,1,,8.02
0.02,0.66,6.85,34,1,,9.38
0.44,0.61,6.86,47,1,,8.03
0.04,0.07,9.01,56,1,,9.50
0.18,0.23,7.14,33,1,,8.76
0.11,0.02,7.42,32,1,,6.91
0.7,0.46,6.98,55,1,,8.49
0.65,2.8,8.31,52,1,,8.97
0.13,0,6.4,45,1,,10.03
0.6,0.18,6.54,42,1,,8.90
0.01,0,6.93,15,0,,7.31
0.03,0.01,6.66,65,0,,7.09
0.01,0.01,4.66,12,0,,5.15
0.02,0,6.24,25,0,,6.97
0.01,0.03,6.2,9,0,,6.84
0.01,0,5.56,7,0,,6.16
0.03,0,6.86,43,0,,7.68
0.04,0.01,7.11,149,0,,7.34
0.04,0.01,6.6,100,0,,6.89
0.03,0.01,6.33,40,0,,6.62
0.02,0,6.43,30,0,,6.85
0.03,0,4.6,57,0,,5.09
0,0,5.41,7,0,,5.73
0,0,4.75,3,0,,4.84
0.02,0,5.89,22,0,,6.41